TOWN11CD,Town name,Educational attainment score,Income deprivation score
E35000083,North Ascot BUASD,8.21,0.97
E35000084,Walton-on-the-Naze BUASD,-1.65,0.84
E35000088,Borrowash BUASD,0.14,0.92
E35000092,Dunscroft BUASD,-2.20,0.86
E35000101,Fence Houses BUASD,-2.36,0.85
E35000104,Ware BUASD,3.26,0.93
E35000106,Northam BUASD,0.01,0.87
E35000108,Farnborough BUASD,-2.06,0.91
E35000114,Baldock BUASD,2.22,0.92
E35000115,Letchworth Garden City BUASD,0.27,0.88
E35000120,Chorley BUASD,-0.06,0.85
E35000121,Guiseley BUASD,4.22,0.95
E35000125,Maidenhead BUASD,4.59,0.94
E35000131,Basingstoke BUASD,-2.08,0.92
E35000135,Swanley BUASD,-2.55,0.86
E35000136,Horwich BUASD,1.49,0.88
E35000137,Thornton (Wyre) BUASD,4.33,0.90
E35000138,Ruddington BUASD,2.96,0.93
E35000141,Chorleywood BUASD,9.44,0.97
E35000142,Shevington Vale BUASD,9.48,0.95
E35000146,Hedon BUASD,-0.65,0.91
E35000148,Worthing BUASD,-1.57,0.90
E35000153,Saltdean BUASD,0.30,0.93
E35000157,Romiley BUASD,-1.36,0.82
E35000158,Clifton (City of Nottingham) BUASD,-5.91,0.81
E35000159,South Elmsall BUASD,-1.01,0.83
E35000166,Ashton-in-Makerfield BUASD,3.10,0.88
E35000170,Prescot BUASD,1.68,0.83
E35000173,Sale BUASD,-0.64,0.82
E35000175,South Kirkby BUASD,-4.21,0.80
E35000181,Eccles BUASD,-2.78,0.80
E35000183,Cottingham BUASD,-0.14,0.93
E35000191,Dewsbury BUASD,-2.12,0.80
E35000193,Syston BUASD,1.30,0.91
E35000194,Morley BUASD,2.58,0.89
E35000198,Gillingham BUASD,-0.34,0.88
E35000202,Pelton BUASD,-1.58,0.82
E35000203,Rothwell BUASD,-0.99,0.89
E35000207,Aldershot BUASD,-1.66,0.89
E35000218,Dunstable BUASD,-1.09,0.89
E35000219,Trimley St Mary BUASD,-2.16,0.93
E35000220,Braunton BUASD,-1.21,0.93
E35000224,Hazel Grove BUASD,3.84,0.93
E35000225,Northfleet BUASD,-1.81,0.85
E35000229,New Milton BUASD,-1.43,0.90
E35000230,Heckmondwike BUASD,-2.18,0.84
E35000236,Ashtead BUASD,8.06,0.96
E35000243,Altrincham BUASD,6.06,0.93
E35000246,Hullbridge BUASD,0.88,0.93
E35000247,Bilston BUASD,-3.97,0.73
E35000248,Woodbridge BUASD,3.16,0.92
E35000251,Winchester BUASD,4.07,0.93
E35000252,Histon BUASD,6.78,0.96
E35000254,Denton BUASD,0.28,0.85
E35000255,Plymstock BUASD,2.88,0.93
E35000257,Irlam BUASD,-3.24,0.85
E35000258,Bedworth BUASD,-2.76,0.86
E35000262,Whickham BUASD,6.03,0.91
E35000267,Kirkby-in-Ashfield BUASD,-3.97,0.84
E35000268,Yatton BUASD,1.76,0.93
E35000277,Middleton (Rochdale) BUASD,-1.58,0.81
E35000278,Swinton BUASD,1.74,0.87
E35000279,Sandhurst BUASD,2.40,0.95
E35000280,St Austell BUASD,-0.63,0.86
E35000281,Swallownest BUASD,2.73,0.88
E35000284,Dudley (Dudley) BUASD,-3.21,0.76
E35000289,Great Harwood BUASD,-0.30,0.86
E35000294,Groby BUASD,5.52,0.96
E35000295,Knottingley BUASD,-5.20,0.81
E35000297,Cullompton BUASD,-3.05,0.91
