"sampleID","patient","type","A1BG"
"TCGA-62-A470-01A","TCGA-62-A470","tumor",46.798
"TCGA-62-A471-01A","TCGA-62-A471","tumor",33.6471
"TCGA-62-A472-01A","TCGA-62-A472","tumor",148.417
"TCGA-64-1676-01A","TCGA-64-1676","tumor",947.4151
"TCGA-64-1677-01A","TCGA-64-1677","tumor",255.9737
"TCGA-64-1678-01A","TCGA-64-1678","tumor",586.2796
"TCGA-64-1679-01A","TCGA-64-1679","tumor",174.1642
"TCGA-64-1680-01A","TCGA-64-1680","tumor",355.0075
"TCGA-64-1681-01A","TCGA-64-1681","tumor",32.3448
"TCGA-64-5774-01A","TCGA-64-5774","tumor",27.1455
"TCGA-64-5775-01A","TCGA-64-5775","tumor",13.9233
"TCGA-64-5778-01A","TCGA-64-5778","tumor",981.3116
"TCGA-64-5779-01A","TCGA-64-5779","tumor",285.9984
"TCGA-64-5781-01A","TCGA-64-5781","tumor",173.6334
"TCGA-64-5815-01A","TCGA-64-5815","tumor",92.498
"TCGA-67-3770-01A","TCGA-67-3770","tumor",790.3477
"TCGA-67-3771-01A","TCGA-67-3771","tumor",330.0782
"TCGA-67-3772-01A","TCGA-67-3772","tumor",187.2425
"TCGA-67-3773-01A","TCGA-67-3773","tumor",88.3864
"TCGA-67-3774-01A","TCGA-67-3774","tumor",45.7353
"TCGA-67-6215-01A","TCGA-67-6215","tumor",16.8187
"TCGA-67-6216-01A","TCGA-67-6216","tumor",39.4165
"TCGA-67-6217-01A","TCGA-67-6217","tumor",64.1288
"TCGA-69-7760-01A","TCGA-69-7760","tumor",8.7445
"TCGA-69-7761-01A","TCGA-69-7761","tumor",42.0507
"TCGA-69-7763-01A","TCGA-69-7763","tumor",30.6251
"TCGA-69-7764-01A","TCGA-69-7764","tumor",33.2626
"TCGA-69-7765-01A","TCGA-69-7765","tumor",40.4682
"TCGA-69-7973-01A","TCGA-69-7973","tumor",38.1858
"TCGA-69-7974-01A","TCGA-69-7974","tumor",119.5082
"TCGA-69-7978-01A","TCGA-69-7978","tumor",60.1547
"TCGA-69-7979-01A","TCGA-69-7979","tumor",728.9823
