"sampleID","patient","type","A1CF"
"TCGA-75-6205-01A","TCGA-75-6205","tumor",0
"TCGA-75-6206-01A","TCGA-75-6206","tumor",0
"TCGA-75-6207-01A","TCGA-75-6207","tumor",0
"TCGA-75-6211-01A","TCGA-75-6211","tumor",0
"TCGA-75-6212-01A","TCGA-75-6212","tumor",0
"TCGA-75-6214-01A","TCGA-75-6214","tumor",0
"TCGA-75-7025-01A","TCGA-75-7025","tumor",0
"TCGA-75-7027-01A","TCGA-75-7027","tumor",149.6815
"TCGA-75-7030-01A","TCGA-75-7030","tumor",11.4583
"TCGA-75-7031-01A","TCGA-75-7031","tumor",40.8602
"TCGA-78-7143-01A","TCGA-78-7143","tumor",0
"TCGA-78-7145-01A","TCGA-78-7145","tumor",0
"TCGA-78-7146-01A","TCGA-78-7146","tumor",0.995
"TCGA-78-7147-01A","TCGA-78-7147","tumor",0.3912
"TCGA-78-7148-01A","TCGA-78-7148","tumor",22.3345
"TCGA-78-7149-01A","TCGA-78-7149","tumor",0
"TCGA-78-7150-01A","TCGA-78-7150","tumor",1.1474
"TCGA-78-7152-01A","TCGA-78-7152","tumor",0
"TCGA-78-7153-01A","TCGA-78-7153","tumor",79.2142
"TCGA-78-7154-01A","TCGA-78-7154","tumor",14.8832
"TCGA-78-7155-01A","TCGA-78-7155","tumor",0
"TCGA-78-7156-01A","TCGA-78-7156","tumor",0
"TCGA-78-7158-01A","TCGA-78-7158","tumor",0
"TCGA-78-7159-01A","TCGA-78-7159","tumor",0
"TCGA-78-7160-01A","TCGA-78-7160","tumor",0
"TCGA-78-7161-01A","TCGA-78-7161","tumor",0
"TCGA-78-7162-01A","TCGA-78-7162","tumor",0
"TCGA-78-7163-01A","TCGA-78-7163","tumor",0.3424
"TCGA-78-7166-01A","TCGA-78-7166","tumor",0
"TCGA-78-7167-01A","TCGA-78-7167","tumor",0
"TCGA-78-7220-01A","TCGA-78-7220","tumor",5.1473
"TCGA-78-7535-01A","TCGA-78-7535","tumor",0
"TCGA-78-7536-01A","TCGA-78-7536","tumor",0
"TCGA-78-7537-01A","TCGA-78-7537","tumor",0
"TCGA-78-7539-01A","TCGA-78-7539","tumor",0
"TCGA-78-7540-01A","TCGA-78-7540","tumor",98.4258
"TCGA-78-7542-01A","TCGA-78-7542","tumor",0.2789
"TCGA-78-7633-01A","TCGA-78-7633","tumor",0
"TCGA-78-8640-01A","TCGA-78-8640","tumor",0.5835
"TCGA-78-8648-01A","TCGA-78-8648","tumor",0
"TCGA-78-8655-01A","TCGA-78-8655","tumor",0
"TCGA-78-8660-01A","TCGA-78-8660","tumor",0
"TCGA-78-8662-01A","TCGA-78-8662","tumor",0
"TCGA-80-5607-01A","TCGA-80-5607","tumor",0
"TCGA-80-5608-01A","TCGA-80-5608","tumor",0
"TCGA-80-5611-01A","TCGA-80-5611","tumor",0
"TCGA-83-5908-01A","TCGA-83-5908","tumor",0.3755
"TCGA-86-6562-01A","TCGA-86-6562","tumor",0
"TCGA-86-6851-01A","TCGA-86-6851","tumor",0
"TCGA-86-7701-01A","TCGA-86-7701","tumor",0
"TCGA-86-7711-01A","TCGA-86-7711","tumor",0
"TCGA-86-7713-01A","TCGA-86-7713","tumor",0
"TCGA-86-7714-01A","TCGA-86-7714","tumor",0
"TCGA-86-7953-01A","TCGA-86-7953","tumor",0.2954
"TCGA-86-7954-01A","TCGA-86-7954","tumor",0
"TCGA-86-7955-01A","TCGA-86-7955","tumor",0
"TCGA-86-8054-01A","TCGA-86-8054","tumor",0.333
"TCGA-86-8055-01A","TCGA-86-8055","tumor",0
"TCGA-86-8056-01A","TCGA-86-8056","tumor",0
"TCGA-86-8073-01A","TCGA-86-8073","tumor",0
"TCGA-86-8074-01A","TCGA-86-8074","tumor",0
"TCGA-86-8075-01A","TCGA-86-8075","tumor",0.2857
"TCGA-86-8076-01A","TCGA-86-8076","tumor",0
